รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030053,บ้านสวนดอกท่าขันทองสามัคคี,0,0,0,0,1,4,5,1,1,2,3,1,2,6,8,2,4,5,9,1,4,2,6,1,4,3,7,1,2,4,6,1,10,3,13,1,4,2,6,1,28,19,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,55,8
57030000,สพป.เชียงราย เขต 3,57030056,แม่แอบวิทยาคม,0,0,0,0,27,14,41,2,16,20,36,1,43,34,77,3,12,18,30,1,23,15,38,2,12,13,25,1,20,5,25,1,21,23,44,2,19,13,32,2,107,87,194,9,19,21,40,2,20,19,39,2,12,11,23,1,51,51,102,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,172,373,17
57030000,สพป.เชียงราย เขต 3,57030057,บ้านศรีกองงาม,2,3,5,1,0,1,1,1,3,3,6,1,5,7,12,3,8,7,15,1,13,1,14,1,4,7,11,1,10,3,13,1,6,7,13,1,8,4,12,1,49,29,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,36,90,9
57030000,สพป.เชียงราย เขต 3,57030058,บ้านป่าไร่หลวงวิทยา(ตชด.ช่างกลปทุมวันอนุสรณ์ 9),0,0,0,0,11,11,22,1,15,11,26,1,26,22,48,2,25,15,40,1,16,17,33,1,13,15,28,1,4,14,18,1,6,7,13,1,6,5,11,1,70,73,143,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,191,8
57030000,สพป.เชียงราย เขต 3,57030059,บ้านปางหมอปวง(ชัยบานราษฎร์ศึกษา),0,0,0,0,5,5,10,1,8,3,11,1,13,8,21,2,7,6,13,1,4,4,8,1,7,3,10,1,7,1,8,1,6,1,7,1,4,3,7,1,35,18,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26,74,8
57030000,สพป.เชียงราย เขต 3,57030061,ชุมชนบ้านป่าสักน้อย,0,0,0,0,8,5,13,1,8,13,21,1,16,18,34,2,5,18,23,1,9,12,21,1,17,5,22,1,4,2,6,1,7,5,12,1,7,6,13,1,49,48,97,6,8,8,16,1,11,6,17,1,6,8,14,1,25,22,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,88,178,11
57030000,สพป.เชียงราย เขต 3,57030062,บ้านแม่คำ(ธรรมาประชาสรรค์),0,0,0,0,6,12,18,1,7,5,12,1,13,17,30,2,25,10,35,2,26,9,35,2,10,11,21,1,6,4,10,1,6,3,9,1,9,4,13,1,82,41,123,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,58,153,10
57030000,สพป.เชียงราย เขต 3,57030064,บ้านปงของ(ธรรมราษฎร์นุกูล),0,0,0,0,5,4,9,1,8,4,12,1,13,8,21,2,5,2,7,1,4,5,9,1,5,4,9,1,3,7,10,1,4,5,9,1,6,2,8,1,27,25,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,33,73,8
57030000,สพป.เชียงราย เขต 3,57030065,ชุมชนบ้านป่าคาแม่เงินสามัคคี,10,6,16,1,14,10,24,1,12,12,24,1,36,28,64,3,8,17,25,1,8,9,17,1,16,12,28,1,24,13,37,1,7,12,19,1,13,14,27,1,76,77,153,6,11,8,19,1,8,2,10,1,5,5,10,1,24,15,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,120,256,12
57030000,สพป.เชียงราย เขต 3,57030066,บ้านแม่คำ,0,0,0,0,2,7,9,1,1,4,5,1,3,11,14,2,5,2,7,1,4,4,8,1,5,2,7,1,3,2,5,1,2,3,5,1,0,0,0,0,19,13,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,46,7
